date,wallet,amount,mint,source
2022-01-09 02:43:37.000,5w1Mr3vv5At7AbFLyC5yNsuTWZ6aPC2wz7ZKXZRywfze,0.0,ETH,Wormhole Bridge
2022-01-15 23:50:23.000,61cLAQmqknpRo1Z1NdPCFCJhABbqfRZBpHQKc49BNYAQ,91500.0,USDCet,Wormhole Bridge
2021-12-10 02:14:25.000,66tLr5rmzxRH6PaA1J1fG6wTZxxQdsMrmfPRDogQoj9G,0.0,ETH,Wormhole Bridge
2022-02-07 10:41:37.000,6AN1DMLxa9WJr7r3P4utdJXpjpLPtpCnE7odaamUCbtY,0.0,ETH,Wormhole Bridge
2022-01-07 05:32:25.000,6Mve4LruwxGuLsbfvLhnkPct4ra8FykQVnQx1vDSBq4m,0.0,WBTC,Wormhole Bridge
2022-02-17 20:38:50.000,6Ru5yLFNqidq8MD3UwMmk2sJ8GsUMWXbueGpVgBYZag8,0.0,ETH,Wormhole Bridge
2022-02-27 09:34:04.000,6aFjcxSBYG3SWffcULTwzNaAP9Ya4QHiGhXFb4srwSC9,0.0,ETH,Wormhole Bridge
2021-12-07 20:31:46.000,6bfZvF9rmdkSoqAYTGMFL58cyGRDdN4YWRDaWVXHV8Dq,0.0,ETH,Wormhole Bridge
2021-12-02 16:55:59.000,6exba4NnLnPgF92VRRVVz2tMZUgS4NpDAUjYEYVg4xkE,11.56059971,ETH,Wormhole Bridge
2022-01-22 18:19:57.000,6jEQunQT2hf2ppjoUMkLUD1cYRyrsHTQTes4inzg2FSz,3000.499778,aeUSDC,Allbridge Bridge
2022-02-01 09:51:20.000,6jFUJ8UKnYnFWdgPvjgtpF82fatnPtYvo87r1RAmoLSd,0.0,ETH,Wormhole Bridge
2021-12-05 10:02:56.000,6n9jg5wxpJSaa1F3nkRSMMvfVydk5L3gdsmfPBvJ5FNk,0.0,ETH,Wormhole Bridge
2022-01-12 11:53:34.000,6rMahyvuU4pkSyyzoLiv4EEZq4g28fWo3qyw1WSphNfd,0.0,ETH,Wormhole Bridge
2021-12-31 17:18:29.000,6rwjQTzepxgABYggM3CNAyjkbyaGiU7Kjtm2kbgyS3rG,0.0,LDO,Wormhole Bridge
2021-12-21 07:11:09.000,6tL8cAeXEkyoGvypjHyiMYrNZJLJAh4Gex9BeUAmnVfj,0.032375,ETH,Wormhole Bridge
2021-12-23 09:07:54.000,6tgAS3U6xRaLwz3FDKpiGReFBxyqFc8TTMEN5FE98kh9,0.0,ETH,Wormhole Bridge
2022-01-21 08:23:58.000,753FruGdwZh89DmeCfbuSVDTuXztvZhP6ptjzwA8Y8zC,0.0,USDCet,Wormhole Bridge
2022-01-25 13:03:03.000,76fiytS9uJ9NDYDexkLKGCDHD1VzwFoDPtA2KwyAkKjJ,156.59748378,MANA,Wormhole Bridge
2021-12-25 22:23:17.000,77F8dT4WkWJQbdXtkpV7iSHQBPznU7EzjMM7FWGXHR1o,3999.5,aeUSDC,Allbridge Bridge
2022-01-02 23:11:38.000,7AJuvrjk5Amu7ZRcLmQaGzbxcP6MhPTfvZDwD9u8Sg7q,0.0,ETH,Wormhole Bridge
2021-12-01 21:24:27.000,7HBtPmU2n7H5sK4EvSPXE5KJkD6m4aFJeJYNJX7SGgmg,1000.0,BUSDet,Wormhole Bridge
2022-02-26 20:20:34.000,7KJGpvi9KdS6eFNwofcVqLQeqPTbUnGTcQShJzsqdqdv,174.15,MANA,Wormhole Bridge
2021-12-09 03:16:39.000,7ckvB1uchDPcA5vkjJvu4DHCkgGq81qbJrd4P2CwPDV8,15.8,ETH,Wormhole Bridge
2021-12-24 01:21:20.000,7pXgZdR9eSwanbojvFjReMNqcSJWzTe2TkLq9c125UU,501.1,USDCet,Wormhole Bridge
2022-01-08 18:35:40.000,8C5xKqkQgNUvAagRY3VvdH5PdcTWW1cFGNudojC89wV1,0.8,ETH,Wormhole Bridge
2021-12-10 11:29:56.000,8CPz6VQSCyLuWEyDZ8LnQNiWG6X2fvTngjk36BU6DwaY,0.0,ETH,Wormhole Bridge
2021-12-04 07:20:08.000,8EnmV7R9hs4wzmnxR7GbovcYUb2vSjm6LxCGs9ugbUAP,1.8,ETH,Wormhole Bridge
2021-12-01 01:56:56.000,8Hj4C4Row7TkhXyG53NaofbaJW6xYmZCpKPzYLdNGJ5P,0.0,ETH,Wormhole Bridge
2021-12-01 23:40:55.000,8aL4A3XPaunYdTdNPhPg2FT9SMUVtbGVfi3kvDyCbPH5,21.0,UNI,Wormhole Bridge
2022-01-25 06:25:23.000,8bMnP2D4jLXoyTyR9eDtmdbXcUBNPv6Z9syyCWQFCcDZ,199.000955,AXSet,Wormhole Bridge
2022-01-30 17:11:04.000,8kUzbGJUgD8mtxxHjBt6KKzLWLDC8pY1bFazMxM53sGE,0.0,agEUR,Wormhole Bridge
2022-01-22 06:13:39.000,8kWycbUUJisvbTytxzhnup9vcJQt3JvNnHpGxgVK8cHB,3.99989,aeWETH,Allbridge Bridge
2021-12-26 20:03:13.000,8rqKrQrkGVDXbef4ZbnDdzdHAgdYLKV5tNNwwbv5bKeQ,0.0,ETH,Wormhole Bridge
2022-01-25 12:50:34.000,8sfCAuGuoKJAKugKZoJ4WXrXzEmYdDNgfGXn4qwLYL5x,0.0,agEUR,Wormhole Bridge
2022-02-05 13:40:35.000,99EREbTmivtDgvEtWNY2CaccZ84bruhAmFf1XSpGpjmF,50.0,USDCet,Wormhole Bridge
2021-12-09 17:28:47.000,9BbTc9YeRerNra2CY4dUNkRduwSxEFGFktZFoLYDBaVS,0.0,ETH,Wormhole Bridge
2021-12-12 15:48:34.000,9psZBS7GHNrFxADh93Gv1Qnr9TTCP9GAdfrvDFzgLJUf,0.0,ETH,Wormhole Bridge
2021-12-24 04:54:19.000,9u3qiXTggbPYUWyWTVCg8YNRfyhWFxW1S1LJPhr9e7S9,5234624.1476874,SHIB,Wormhole Bridge
2021-12-14 00:06:08.000,9vDKFc8SzKY3mmbJsL8zRjiCh13VJhjZWkTg1gMEmN2d,39999.0,USDCet,Wormhole Bridge
2021-12-04 05:41:39.000,9wTYget9kNwx2e9W2ThVZaZwt8jkVJqUbr48bKMSzPxr,0.0,DYDX,Wormhole Bridge
2021-12-03 19:54:53.000,9wtjtMgHHkaLdkXkr26WSJ8Y4BjXHBMKttWiuksMovWs,0.0,USDCet,Wormhole Bridge
2022-01-13 02:57:05.000,A1tSfBqGkE9tDyEnrXkke8vUAQdLkDviD3GikVXTdj6D,0.0,USDCet,Wormhole Bridge
2022-01-12 17:57:48.000,A4dfgHpbhk18ZyGie6xDjwtPbHz44kZLk4REq9ssqQWo,0.0,USDTet,Wormhole Bridge
2021-12-02 07:07:49.000,AUMrJtgSTDLKagyRNs9aHxGa2vkyh4SezcucuzHMCFNE,0.0,ETH,Wormhole Bridge
2021-12-02 17:46:14.000,AasiE5k9uWd5kFhuahenJNNXmiEw7KaCBUY1hckLL36m,2834.071097,USDTet,Wormhole Bridge
2022-02-20 07:24:37.000,Aepk7FJZjP1vwacPgzU6EurnyscxuHY69Nnt2JbusrMP,0.305,ETH,Wormhole Bridge
