month,staker_count
2021-08,2478
2021-09,17523
2021-10,40148
2021-11,48981
2021-12,58587
2022-01,66071
2022-02,70875
2022-03,75328
2022-04,77972
2022-05,79238
2022-06,79923
2022-07,80769
2022-08,81862
2022-09,82735
2022-10,83482
2022-11,84123
2022-12,84605
2023-01,84834
