date_stake,stake_pool_name,staker_status,deposit,withdraw,net_deposit
2021-08,Marinade,2478.0,873709.945084746,29160.843599091,844549.1014856551
2021-09,Lido,1519.0,639616.47012553,23985.215377298002,615631.254748232
2021-09,"Lido,Marinade",157.0,287.05,0.0,287.05
2021-09,Marinade,13810.0,3456047.268232207,196269.476079438,3259777.792152769
2021-09,Socean,2372.0,417736.07779902697,2133.224998492,415602.852800535
2021-10,Jpool,7.0,100149.988545319,14.800085,100135.188460319
2021-10,Lido,2542.0,1431624.133757789,205869.262459862,1225754.871297927
2021-10,"Lido,Marinade",226.0,818.812,0.0,818.812
2021-10,Marinade,31556.0,9652129.539860222,387782.617252748,9264346.922607474
2021-10,Socean,6651.0,651612.556923053,23157.501465751,628455.055457302
2021-11,Daopool,1.0,0.1,0.0,0.1
2021-11,Jpool,58.0,102192.912202362,744.182168584,101448.73003377799
2021-11,Lido,3114.0,1533272.909610683,287217.074507495,1246055.835103188
2021-11,"Lido,Marinade",241.0,1825.162,0.0,1825.162
2021-11,Marinade,37708.0,11199696.216981443,1109015.067401307,10090681.149580136
2021-11,Socean,8909.0,758977.8506186641,32273.285180073,726704.565438591
2021-12,Daopool,124.0,22662.958826994,1096.053606057,21566.905220937
2021-12,"Daopool,Lido",1.0,3.0,0.0,3.0
2021-12,Eversol,2.0,1.1521746959999999,0.7204289260000001,0.4317457699999999
2021-12,Jpool,146.0,372474.25643868,7539.953150155,364934.303288525
2021-12,Lido,3907.0,2035467.554049628,528542.397282263,1506925.156767365
2021-12,"Lido,Marinade",250.0,2260.892,0.0,2260.892
2021-12,Marinade,42521.0,12703524.147267334,1287612.244798332,11415911.902469004
2021-12,Socean,12960.0,841810.941903914,33870.262970591,807940.678933323
2022-01,Daopool,245.0,101444.463305049,10174.692838789,91269.77046626
2022-01,"Daopool,Lido",1.0,3.0,0.0,3.0
2022-01,Eversol,27.0,6415.420264733,436.299106108,5979.121158624999
2022-01,Jpool,536.0,1036355.3040124291,18323.978431279,1018031.32558115
2022-01,Lido,5420.0,2976761.739049072,898408.579283281,2078353.159765791
2022-01,"Lido,Marinade",266.0,3358.392,0.0,3358.392
2022-01,Marinade,46350.0,13691509.80985803,3016115.135432486,10675394.674425544
2022-01,Socean,15328.0,894195.022159182,40169.003047318,854026.019111864
2022-02,Daopool,1729.0,117532.153981975,26608.571842572,90923.58213940299
2022-02,"Daopool,Lido",1.0,3.0,0.0,3.0
2022-02,"Daopool,Marinade",57.0,0.1842,0.0,0.1842
